Ngày; close 
05/05/2022;1.404,88
06/05/2022;1.373,21
09/05/2022;1.314,04
10/05/2022;1.345,46
11/05/2022;1.349,82
12/05/2022;1.279,76
13/05/2022;1.223,76
16/05/2022;1.215,08
17/05/2022;1.279,55
18/05/2022;1.286,41
19/05/2022;1.283,55
20/05/2022;1.282,51
23/05/2022;1.255,35
24/05/2022;1.272,71
25/05/2022;1.310,70
26/05/2022;1.309,50
27/05/2022;1.335,68
30/05/2022;1.342,87
31/05/2022;1.332,59
01/06/2022;1.335,49
02/06/2022;1.325,49
03/06/2022;1.327,40
06/06/2022;1.327,04
07/06/2022;1.324,37
08/06/2022;1.342,03
09/06/2022;1.342,92
10/06/2022;1.325,69
13/06/2022;1.260,85
14/06/2022;1.261,16
15/06/2022;1.253,09
16/06/2022;1.280,37
17/06/2022;1.258,03
20/06/2022;1.225,56
21/06/2022;1.224,54
22/06/2022;1.227,18
23/06/2022;1.240,58
24/06/2022;1.235,47
27/06/2022;1.256,67
28/06/2022;1.273,41
29/06/2022;1.273,40
30/06/2022;1.248,92
01/07/2022;1.252,24
04/07/2022;1.248,37
05/07/2022;1.242,05
06/07/2022;1.211,94
07/07/2022;1.229,23
08/07/2022;1.231,54
11/07/2022;1.209,02
12/07/2022;1.219,44
13/07/2022;1.216,94
14/07/2022;1.221,94
15/07/2022;1.220,14
18/07/2022;1.214,28
19/07/2022;1.211,70
20/07/2022;1.225,62
21/07/2022;1.235,25
22/07/2022;1.228,84
25/07/2022;1.222,60
26/07/2022;1.218,49
27/07/2022;1.219,43
28/07/2022;1.236,14
29/07/2022;1.232,00
01/08/2022;1.256,25
02/08/2022;1.265,97
03/08/2022;1.269,83
04/08/2022;1.277,73
05/08/2022;1.272,06
08/08/2022;1.276,70
09/08/2022;1.281,44
10/08/2022;1.277,15
11/08/2022;1.272,33
12/08/2022;1.280,96
15/08/2022;1.293,79
16/08/2022;1.295,10
17/08/2022;1.300,40
18/08/2022;1.299,93
19/08/2022;1.294,93
22/08/2022;1.285,45
23/08/2022;1.292,00
24/08/2022;1.296,41
25/08/2022;1.311,55
26/08/2022;1.306,81
29/08/2022;1.293,25
30/08/2022;1.298,14
31/08/2022;1.301,44
05/09/2022;1.298,15
06/09/2022;1.299,06
07/09/2022;1.268,95
08/09/2022;1.265,57
09/09/2022;1.275,64
12/09/2022;1.275,60
